epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
78,0.38096374,0.23489293,0.10495977,0.4939227,1580.0,-6.966326,0.65000004,7900.0,0.141
79,0.38104653,0.23484054,0.10495009,0.49414197,1600.0,-7.0380964,0.615,8000.0,0.14400001
80,0.38098747,0.23482195,0.1049301,0.4943599,1620.0,-5.770906,0.65500003,8100.0,0.14500001
81,0.3809946,0.23479518,0.10490869,0.4945821,1640.0,-7.0680933,0.65,8200.0,0.159
82,0.38101226,0.23476031,0.10488322,0.49482417,1660.0,-6.0115023,0.68,8300.0,0.16
83,0.3809567,0.23475759,0.104846954,0.49502188,1680.0,-6.5478973,0.7,8400.0,0.15
84,0.38095808,0.23472157,0.10483221,0.4952205,1700.0,-7.3415146,0.57,8500.0,0.16999999
85,0.38088983,0.234709,0.10480547,0.4953967,1720.0,-7.013466,0.695,8600.0,0.174
86,0.38095143,0.2346653,0.10480513,0.4955822,1740.0,-7.004018,0.59499997,8700.0,0.169
87,0.38098738,0.2345968,0.10479678,0.49577245,1760.0,-6.921991,0.58500004,8800.0,0.175
88,0.38098344,0.23453924,0.104769155,0.4959539,1780.0,-6.250509,0.705,8900.0,0.15900001
89,0.38089472,0.23454615,0.10475054,0.49615782,1800.0,-6.8472,0.67999995,9000.0,0.15900001
90,0.38083443,0.23452525,0.104737595,0.4963275,1820.0,-6.061503,0.64,9100.0,0.16499999
91,0.38085303,0.23448864,0.104720786,0.49650913,1840.0,-6.8931503,0.675,9200.0,0.16099998
92,0.38085824,0.23443899,0.1047072,0.49667805,1860.0,-6.000005,0.675,9300.0,0.17300001
93,0.3808913,0.23443201,0.10471089,0.49687082,1880.0,-6.345572,0.685,9400.0,0.161
94,0.3809142,0.23440003,0.10470929,0.4970358,1900.0,-6.5890265,0.68,9500.0,0.178
95,0.38091117,0.23442158,0.10469018,0.4971942,1920.0,-5.9610877,0.7,9600.0,0.155
96,0.3809312,0.23437901,0.10466645,0.49732333,1940.0,-5.6589303,0.70500004,9700.0,0.17400001
97,0.3808684,0.23438136,0.10465857,0.49745172,1960.0,-6.0720205,0.73999995,9800.0,0.15799999
98,0.3809174,0.23435518,0.10465374,0.49757117,1980.0,-6.2096777,0.65500003,9900.0,0.17300001
99,0.38090736,0.23436853,0.10465775,0.4977038,2000.0,-6.15677,0.70500004,10000.0,0.16099998
100,0.3808942,0.23434773,0.104651764,0.49781424,2020.0,-5.3982,0.76000005,10100.0,0.172
101,0.38084537,0.23433411,0.104653694,0.49794418,2040.0,-6.0746474,0.68999994,10200.0,0.161
102,0.38084656,0.23431203,0.10464194,0.4980731,2060.0,-6.7808533,0.725,10300.0,0.159
103,0.38075525,0.23427615,0.104616925,0.498192,2080.0,-5.8992867,0.725,10400.0,0.16799998
104,0.38069382,0.2342881,0.1046087,0.49831325,2100.0,-5.735011,0.675,10500.0,0.17300001
105,0.38067716,0.234267,0.10460756,0.4984135,2120.0,-6.887883,0.63500005,10600.0,0.171
106,0.38071114,0.23425046,0.104606256,0.49851617,2140.0,-5.7385454,0.755,10700.0,0.16299999
107,0.38073403,0.23422489,0.10459994,0.4986101,2160.0,-5.7294116,0.71999997,10800.0,0.15799999
108,0.38071102,0.23422487,0.10459353,0.49870557,2180.0,-5.221064,0.78,10900.0,0.205
